id,homicidios,populacao
1,17,11360
2,2,8618
3,20,16003
4,8,42361
5,10,12814
6,21,23690
7,0,11703
8,18,20070
9,16,25846
10,18,21208
11,0,3370
12,70,72423
13,45,29847
14,17,16754
15,2,6477
16,0,6405
17,53,37758
18,25,41198
19,19,22382
20,11,14478
21,4,7625
22,23,41202
23,17,29076
24,7,6123.5
25,30,28538
26,5,8272
27,9,18256
28,0,7188
29,1,20492
30,13,41894
31,15,16405
32,46,36599
33,4,5260
34,17,26717
35,11,7636
36,2,10719
37,5,10994
38,5,5637
39,10,12111
40,3,15634
41,4,13147
42,3,1447
43,24,22210
44,6,7863
45,1,15543
46,1,12063
47,7,23309
48,10,28896
49,37,40336
50,0,6477
51,32,52042
52,26,39651
53,0,6668
54,2,5266
55,6,26994
56,10,12477
57,8,22563
58,11,14204
59,57,50479
60,8,12264
61,1,10103
62,31,29571
63,6,14919
64,29,23184
65,10,18398
66,4,23450
67,7,19331
68,3,8848
69,13,27949
70,12,10155
71,1,6123.5
72,2,36982
73,46,41689
74,47,76044
75,12,13215
76,4,25970
77,6,3765
78,10,13747
79,6,12936
80,7,8815
81,11,18370
82,11,30947
83,0,6715
84,14,27236
85,2,8409
86,0,7529
87,9,7192
88,6,0
89,8,12790
90,17,10486
91,6,14432
92,0,11072
93,35,50940
94,12,14665
95,1,1342
96,23,42494
97,38,17775
98,30,39446
99,11,3130
100,24,18600
101,25,33427
102,2,23004
103,36,47277
104,4,19114
105,9,2117
106,0,4298
107,0,11964
108,3,14505
109,24,27598
110,13,32158
111,21,28770
112,30,33628
113,2,8421
114,34,45518
115,9,37952
116,6,20645
117,10,15378
118,31,61617
200,6,0
