date,apple,facebook
2016/05/02,93.64,118.57
2016/05/02,93.64,118.57
2016/04/29,93.74,117.58
2016/04/28,94.83,116.73
2016/04/27,97.82,108.89
2016/04/26,104.35,108.76
2016/04/25,105.08,110.10
2016/04/22,105.68,110.56
2016/04/21,105.97,113.44
2016/04/20,107.13,112.42
2016/04/19,106.91,112.29
2016/04/18,107.48,110.45
2016/04/15,109.85,109.64
2016/04/14,112.10,110.84
2016/04/13,112.04,110.51
2016/04/12,110.44,110.61
2016/04/11,109.02,108.99
2016/04/08,108.66,110.63
2016/04/07,108.54,113.64
2016/04/06,110.96,113.71
2016/04/05,109.81,112.22
2016/04/04,111.12,112.55
2016/04/01,109.99,116.06
2016/03/31,108.99,114.10
2016/03/30,109.56,114.70
2016/03/29,107.68,116.14
2016/03/28,105.19,113.69
2016/03/24,105.67,113.05
2016/03/23,106.13,112.54
2016/03/22,106.72,112.25
2016/03/21,105.91,111.85
2016/03/18,105.92,111.45
2016/03/17,105.80,111.02
2016/03/16,105.97,112.18
2016/03/15,104.58,110.67
2016/03/14,102.52,109.89
2016/03/11,102.26,109.41
2016/03/10,101.17,107.32
2016/03/09,101.12,107.51
2016/03/08,101.03,105.93
2016/03/07,101.87,105.73
2016/03/04,103.01,108.39
2016/03/03,101.50,109.58
2016/03/02,100.75,109.95
2016/03/01,100.53,109.82
2016/02/29,96.69,106.92
2016/02/26,96.91,107.92
2016/02/25,96.76,108.07
2016/02/24,96.10,106.88
2016/02/23,94.69,105.46
2016/02/22,96.88,107.16
2016/02/19,96.04,104.57
2016/02/18,96.26,103.47
2016/02/17,98.12,105.20
2016/02/16,96.64,101.61
2016/02/12,93.99,102.01
2016/02/11,93.70,101.91
2016/02/10,94.27,101.00
2016/02/09,94.99,99.54
2016/02/08,95.01,99.75
2016/02/05,94.02,104.07
2016/02/04,96.60,110.49
2016/02/03,96.35,112.69
2016/02/02,94.48,114.61
2016/02/01,96.43,115.09
2016/01/29,97.34,112.21
2016/01/28,94.09,109.11
2016/01/27,93.42,94.45
2016/01/26,99.99,97.34
2016/01/25,99.44,97.01
2016/01/22,101.42,97.94
2016/01/21,96.30,94.16
2016/01/20,96.79,94.35
2016/01/19,96.66,95.26
2016/01/15,97.13,94.97
2016/01/14,99.52,98.37
2016/01/13,97.39,95.44
2016/01/12,99.96,99.37
2016/01/11,98.53,97.51
2016/01/08,96.96,97.33
2016/01/07,96.45,97.92
2016/01/06,100.70,102.97
2016/01/05,102.71,102.73
2016/01/04,105.35,102.22
2015/12/31,105.26,104.66
2015/12/30,107.32,106.22
2015/12/29,108.74,107.26
2015/12/28,106.82,105.93
2015/12/24,108.03,105.02
2015/12/23,108.61,104.63
2015/12/22,107.23,105.51
2015/12/21,107.33,104.77
2015/12/18,106.03,104.04
2015/12/17,108.98,106.22
2015/12/16,111.34,106.79
2015/12/15,110.49,104.55
2015/12/14,112.48,104.66
2015/12/11,113.18,102.12
2015/12/10,116.17,105.42
2015/12/09,115.62,104.60
2015/12/08,118.23,106.49
2015/12/07,118.28,105.61
2015/12/04,119.03,106.18
2015/12/03,115.20,104.38
2015/12/02,116.28,106.07
2015/12/01,117.34,107.12
2015/11/30,118.30,104.24
2015/11/27,117.81,105.45
2015/11/25,118.03,105.41
2015/11/24,118.88,105.74
2015/11/23,117.75,106.95
2015/11/20,119.30,107.32
2015/11/19,118.78,106.26
2015/11/18,117.29,107.77
2015/11/17,113.69,105.13
2015/11/16,114.18,104.04
2015/11/13,112.34,103.95
2015/11/12,115.72,108.02
2015/11/11,116.11,109.01
2015/11/10,116.77,107.91
2015/11/09,120.57,106.49
2015/11/06,121.06,107.10
2015/11/05,120.92,108.76
2015/11/04,122.00,103.94
2015/11/03,122.57,102.58
2015/11/02,121.18,103.31
2015/10/30,119.50,101.97
2015/10/29,120.53,104.88
2015/10/28,119.27,104.20
2015/10/27,114.55,103.70
2015/10/26,115.28,103.77
2015/10/23,119.08,102.19
2015/10/22,115.50,99.67
2015/10/21,113.76,97.11
2015/10/20,113.77,97.00
2015/10/19,111.73,98.47
2015/10/16,111.04,97.54
2015/10/15,111.86,95.96
2015/10/14,110.21,94.07
2015/10/13,111.79,94.12
2015/10/12,111.60,94.26
2015/10/09,112.12,93.24
2015/10/08,109.50,92.47
2015/10/07,110.78,92.40
2015/10/06,111.31,92.80
2015/10/05,110.78,94.01
2015/10/02,110.38,92.07
2015/10/01,109.58,90.95
2015/09/30,110.30,89.90
2015/09/29,109.06,86.67
2015/09/28,112.44,89.21
2015/09/25,114.71,92.77
2015/09/24,115.00,94.41
2015/09/23,114.32,93.97
2015/09/22,113.40,92.96
2015/09/21,115.21,95.55
2015/09/18,113.45,94.40
2015/09/17,113.92,94.34
2015/09/16,116.41,93.45
2015/09/15,116.28,92.90
2015/09/14,115.31,92.31
2015/09/11,114.21,92.05
2015/09/10,112.57,91.98
2015/09/09,110.15,90.44
2015/09/08,112.31,89.53
2015/09/04,109.27,88.26
2015/09/03,110.37,88.15
2015/09/02,112.34,89.89
2015/09/01,107.72,87.23
2015/08/31,112.76,89.43
2015/08/28,113.29,91.01
2015/08/27,112.92,89.73
2015/08/26,109.69,87.19
2015/08/25,103.74,83.00
2015/08/24,103.12,82.09
2015/08/21,105.76,86.06
2015/08/20,112.65,90.56
2015/08/19,115.01,95.31
2015/08/18,116.50,95.17
2015/08/17,117.16,93.93
2015/08/14,115.96,94.42
2015/08/13,115.15,93.43
2015/08/12,115.24,94.19
2015/08/11,113.49,93.62
2015/08/10,119.72,94.15
2015/08/07,115.52,94.30
2015/08/06,115.13,95.12
2015/08/05,115.40,96.44
2015/08/04,114.64,94.06
2015/08/03,118.44,94.14
2015/07/31,121.30,94.01
2015/07/30,122.37,95.21
2015/07/29,122.99,96.99
2015/07/28,123.38,95.29
2015/07/27,122.77,94.17
2015/07/24,124.50,96.95
2015/07/23,125.16,95.44
2015/07/22,125.22,97.04
2015/07/21,130.75,98.39
2015/07/20,132.07,97.91
2015/07/17,129.62,94.97
2015/07/16,128.51,90.85
2015/07/15,126.82,89.76
2015/07/14,125.61,89.68
2015/07/13,125.66,90.10
2015/07/10,123.28,87.95
2015/07/09,120.07,85.88
2015/07/08,122.57,85.65
2015/07/07,125.69,87.22
2015/07/06,126.00,87.55
2015/07/02,126.44,87.28
2015/07/01,126.60,86.91
2015/06/30,125.42,85.76
2015/06/29,124.53,85.80
2015/06/26,126.75,88.01
2015/06/25,127.50,87.98
2015/06/24,128.11,88.86
2015/06/23,127.03,87.88
2015/06/22,127.61,84.74
2015/06/19,126.60,82.51
2015/06/18,127.88,82.90
2015/06/17,127.30,81.79
2015/06/16,127.60,81.06
2015/06/15,126.92,80.71
2015/06/12,127.17,81.53
2015/06/11,128.59,81.83
2015/06/10,128.88,82.16
2015/06/09,127.42,80.67
2015/06/08,127.80,80.67
2015/06/05,128.65,82.14
2015/06/04,129.36,82.05
2015/06/03,130.12,82.44
2015/06/02,129.96,80.44
2015/06/01,130.54,80.29
2015/05/29,130.28,79.19
2015/05/28,131.78,80.14
2015/05/27,132.04,80.55
2015/05/26,129.62,79.34
2015/05/22,132.54,80.54
2015/05/21,131.39,80.48
2015/05/20,130.06,80.55
2015/05/19,130.07,80.63
2015/05/18,130.19,80.88
2015/05/15,128.77,80.42
2015/05/14,128.95,81.37
2015/05/13,126.01,78.44
2015/05/12,125.86,77.46
2015/05/11,126.32,78.01
2015/05/08,127.62,78.51
2015/05/07,125.26,78.42
2015/05/06,125.01,78.10
